estimator,min_score,mean_score,max_score,std_score,learning_rate,max_depth,min_child_weight,n_estimators
XGBRegressor,0.4743654911044897,0.5453881838323308,0.5933269605449988,0.045994165558663085,0.1,9,5,500
XGBRegressor,0.46689360925674356,0.5453658282500843,0.5925702563391892,0.04801589076032844,0.1,7,1,500
XGBRegressor,0.4793619592719108,0.5447557920828043,0.5883616655902919,0.04163236188988297,0.1,11,5,200
XGBRegressor,0.4635231021901494,0.5447369853017131,0.5920543159618937,0.04962717419784371,0.1,5,1,1000
XGBRegressor,0.47193313857602875,0.5446137344821912,0.5890364709673453,0.046252015655361904,0.1,5,3,1000
XGBRegressor,0.4758648729974211,0.5430389968816527,0.5948949310280471,0.04541072445392705,0.1,13,5,200
RandomForestRegressor,0.47380913844279726,0.5424026603387204,0.5839332281257987,0.043473317027209205,,30,,500
XGBRegressor,0.46686495834338176,0.5418485881309786,0.5863174784430347,0.04544678241844778,0.1,11,1,200
XGBRegressor,0.46556615596831324,0.5418432279304969,0.5919138774745332,0.04742133071184436,0.1,9,1,200
XGBRegressor,0.4734509621582835,0.5409823631312889,0.5803360382250654,0.043550881850773875,0.1,9,3,500
XGBRegressor,0.4687154940267817,0.5385627065784634,0.5818483975416333,0.04616193652933051,0.1,7,3,500
XGBRegressor,0.46757539276758203,0.5354847571314637,0.5796959887116601,0.04540586400218058,0.1,9,3,200
XGBRegressor,0.462128340772801,0.5349088707028181,0.5852622748399682,0.04834870722470112,0.1,11,3,200
XGBRegressor,0.46468451500181857,0.5341822880983345,0.5801235044344019,0.04452952161751419,0.1,13,3,200
